795.7399799,21.82320442
992.5539994,22.18232044
1197.196078,22.56906077
1396.235139,22.87292818
1589.773213,23.17679558
1792.80729,23.45303867
1992.831292,23.70165746
2183.5793,23.97790055
2403.962653,24.19889503
2596.289582,24.4198895
2804.00346,24.64088398
2999.420068,24.86187845
3192.932128,25.02762431
3399.018992,25.22099448
3600.996108,25.38674033
3796.61771,25.52486188
4002.866319,25.66298343
4220.319241,25.80110497
4385.892786,25.91160221
4601.902201,26.02209945
4805.31559,26.10497238
5041.981979,26.21546961
5341.304407,26.32596685
5631.16855,26.40883978
5993.995194,26.49171271
6349.498292,26.54696133
6758.429133,26.60220994
7159.270711,26.65745856
7583.685158,26.68508287
8071.674274,26.68508287
8549.951044,26.68508287
9056.567493,26.68508287
9593.457107,26.71270718
